serial_number,circular_number,title,date,detail_url,canonical_url,source_url,scraped_at
56,DOR.AML.REC.16/14.06.001/2023-24,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Amendments in 01 Entry",2023-06-05,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12507&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12507&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
57,DOR.AML.REC.107/14.06.001/2023-24,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Addition of Two Entries",2023-04-27,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12496&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12496&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
58,DOR.RET.REC.108/12.07.160/2022-23,"Cessation of 'Abu Dhabi Commercial Bank PJSC' as a Banking Company within the Meaning of Sub Section (2) of Section 36A of Banking Regulation Act, 1949",2023-03-27,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12464&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12464&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
59,DOR.RET.REC.107/12.07.160/2022-23,"Exclusion of 'Abu Dhabi Commercial Bank PJSC' from the Second Schedule to the Reserve Bank of India Act, 1934",2023-03-27,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12463&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12463&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
60,DOR.AML.REC.106/14.06.001/2022-23,"Implementation of Section 51A of UAPA,1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Amendments to 102 Entries",2023-03-17,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12461&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12461&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
61,DOR.AML.REC.105/14.06.001/2022-23,"Designation of 1 Individual and 2 Organisations under Section 35(1)(a) and 2(1)(m) of the Unlawful Activities (Prevention) Act, 1967 and their Listing in the Fourth and First Schedule of the Act - Reg",2023-02-28,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12459&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12459&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
62,DOR.AML.REC.100/14.06.001/2022-23,"Implementation of Section 51A of UAPA,1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List (Amendments to 29 entries)",2023-02-03,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12448&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12448&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
63,DOR.AML.REC.99/14.06.001/2022-23,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Addition of 1 Entry",2023-01-30,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12447&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12447&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
64,DOR.AML.REC.98/14.06.001/2022-23,"Designation of 3 Individuals as 'Terrorists' under Section 35(1)(a) of the Unlawful Activities (Prevention) Act (UAPA), 1967 and their Listing in the Schedule IV of the Act - Reg",2023-01-24,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12446&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12446&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
65,DOR.AML.REC.97/14.06.001/2022-23,"Implementation of Section 51A of UAPA, 1967 : Updates to UNSC's 1267 / 1989 ISIL (Da'esh) & Al-Qaida Sanctions List : Addition of 1 Entry",2023-01-17,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12442&Mode=0,https://www.rbi.org.in/Scripts/NotificationUser.aspx?Id=12442&Mode=0,https://www.rbi.org.in/Scripts/BS_ViewListofstandalonecirculars.aspx,2026-05-30T10:50:41.754351+00:00
